time,open,high,low,close,Volume
1630416600,380.51,380.579,378.36,379.95,29628175
1630503000,381.04,382.71,380.37,380.58,28138311
1630589400,381.97,382.31,379.15,380.4,25503535
1630675800,379.22,381.98,379.2003,381.57,24624937
1631021400,381.68,382.778,380.4882,382.11,23970203
1631107800,381.93,381.93,378.45,380.78,32949159
1631194200,381.01,382.15,379.22,379.47,29398978
1631280600,381.23,381.97,376.245,376.59,40249405
1631539800,378.99,379.43,374.22,376.33,48741781
1631626200,377.86,378.61,374.28,375.26,41826624
1631712600,375.73,378.41,373.37,378.05,34097865
1631799000,376.68,378.9,374.695,378.31,35193083
1631885400,377.82,377.87,372.76,373.83,60912267
1632144600,367.46,369.25,360.93,365.7,76203202
1632231000,367.58,368.81,364.99,366.15,41927483
1632317400,367.09,371.07,365.9584,369.57,46972920
1632403800,370.76,374.04,370.099,372.98,44652002
1632490200,370.65,373.76,370.27,373.33,36056800
1632749400,370.2,371.2516,367.73,370.35,43338079
1632835800,365.67,370.302,359.35,359.87,97701632
1632922200,361.17,363.37,358.635,359.28,58076621
1633008600,360.97,362.68,357.1,357.96,61384577
1633095000,358.6,361.25,354.38,360.18,56375488
1633354200,358.52,358.86,350.32,352.62,76766005
1633440600,353.71,359.69,353.48,357.38,47232904
1633527000,354.08,359.95,353.15,359.67,56806536
1633613400,362.8,365.69,362.25,362.97,39411172
1633699800,364.08,364.3166,360.61,361.16,41822309
1633959000,359.58,363.2,358.3,358.39,34847182
1634045400,359.88,360.33,356.48,357.14,43905101
1634131800,359.51,360.69,357.43,360,40120795
1634218200,363.69,366.85,363.01,366.63,43433867
1634304600,367.88,369.06,366.82,368.94,40419878
1634563800,367.61,372.87,366.99,372.65,34513514
1634650200,373.75,375.52,372.6974,375.47,29090963
1634736600,375.94,376.565,373.46,374.98,31390338
1634823000,374.16,377.47,373.85,377.27,25469277
1634909400,375.98,376.97,372.385,374.1,36275822
1635168600,375.56,378.87,373.56,377.93,32597804
1635255000,380.23,382.71,377.905,379.12,47191279
1635341400,379.58,383.15,379.31,380,45760496
1635427800,381.95,384.48,381.155,384.22,38007005
1635514200,381.06,386.28,380.7,386.11,37310116
1635773400,386.56,387.56,384.42,387.43,30765303
1635859800,386.8,389.54,386.75,389.05,25135292
1635946200,389.55,393.61,388.48,393.18,33748901
1636032600,394.48,399.2,393.92,398.22,40265313
1636119000,400.04,400.99,397.16,398.6,43383802
1636381800,398.57,399.62,397.4,398.06,29256270
1636468200,399.16,399.57,393.92,395.32,50490720
1636554600,392.47,395.36,387.53,389.51,54937385
1636641000,392.57,392.75,390.24,390.59,32242983
1636727400,391.77,395.25,390.13,394.7,34730564
1636986600,395.91,396.24,392.095,394.61,33716861
1637073000,393.86,397.93,393.66,397.42,27872940
1637159400,397.75,399.7196,396.64,397.63,28703263
1637245800,399.73,402.27,397.45,401.75,45721515
1637332200,403.43,405.3,402.58,403.99,45191721
1637591400,405.57,408.71,399.19,399.3,61715370
1637677800,398.11,400.23,392.92,397.48,70098736
1637764200,394.93,399.05,392.54,398.76,46954382
1637937000,396.11,397.54,389.77,391.2,51533314
1638196200,395.89,400.73,395.14,399.69,54447106
1638282600,398.78,401.19,391.75,393.82,81332693
1638369000,398.28,400.48,386.64,387.12,78379245
1638455400,385.8,391.74,384.34,389.91,84416623
1638541800,391.31,392.34,378.9,383.13,105349104
1638801000,383.63,387.6,379.3,386.2,67588801
1638887400,393.03,398.46,392.99,397.83,56005264
1638973800,398.17,399.82,396.22,399.61,39204041
1639060200,398.35,400.2,393.5299,393.73,49973714
1639146600,396.62,398.28,393.36,398.01,52545767
1639405800,398,398.325,391.88,392.26,50166410
1639492200,387.3,390.09,383.63,388.2,75199181
1639578600,387.94,397.4198,383.88,397.05,73858028
1639665000,398.04,398.475,385.21,386.84,82591368
1639751400,383.33,389.19,381.77,384.91,81642848
1640010600,379.565,381.5,377.47,380.69,65336827
1640097000,384.05,389.53,380.201,389.21,48899477
1640183400,388.91,394.16,388.23,393.95,37042200
1640269800,394.31,398.425,394.14,396.92,29595536
1640615400,398.25,403.48,398.2194,403.48,32820705
1640701800,404.4,404.58,400.71,401.61,33113728
1640788200,401.75,403.05,399.11,401.55,32248484
1640874600,401.33,403.5699,399.75,400.35,23850065
1640961000,399.66,401.0589,397.34,397.85,34752884
1641220200,399.05,401.94,396.88,401.68,40575854
